# La frase que sale bajo el nombre de cada personaje.
# identidad = el valor del campo 0xBA162C11 de la partida.
# Lo genera herramientas/construir_descripciones.py (NOTAS O-92).
identidad,descripcion
9A3492BB,Forma parte de los Reyes Celestiales de Falam Orbius. Controla el agua con gran habilidad.
9A35C67C,"Colma de cuidados a sus mascotas, un zorro y un mapache."
9A46C9AA,Un friki de las ciencias que sabe más que nadie. No cree en lo sobrenatural y solo se fía de hechos.
9A5333A3,"Estricta pero justa, lidera el campo con una disciplina férrea y con una inquebrantable voluntad de ganar."
9A54F90A,Cada día prepara fiambreras toda la familia y nunca olvida quien quiere qué.
9A59F3F9,La entrenadora del Ejército del Fénix Árabe. Su pasión enardece al equipo en todo momento.
9A5C07A9,Es un maníaco de los juegos que se convirtió en un guerrero dentro del campo. Sabe las reglas por los videojuegos.
9A5C88E4,"Atrae a la gente con su encanto y su labia. Pero como te acerques demasiado, échate a temblar."
9A61DE20,Vocalista principal de un grupo de rock indie. Es especialmente popular entre las chicas.
9A686578,Es un hacha usando la calculadora. Teclea a una velocidad inaudita.
9A84B71E,"Un joven consejero a las órdenes de la reina <FST:LARAYA>, versado en las costumbres del difunto rey <FST:ACLOUS>."
9AA71F5F,"Le gusta sestear en el tejado, pero a veces da vueltas y se cae de él."
9AB11F79,"Bebe potingues caseros para curarse, en lugar de ir al médico. Así le va..."
9AB8A421,Le acompleja su cara aniñada. Por eso usa una máscara y maquillaje.
9AC65A15,Le encanta el golf y suele practicar su swing durante horas después de clase.
9AD4098F,Una jugadora extraordinaria cuyo punto flaco es la falta de modestia.
9AD523FB,Menosprecia a los rivales más débiles pero está presente cuando su capitán más lo necesita.
9AEB8A02,Adora a su oso mascota. La cicatriz de su frente es un recuerdo de sus juegos juntos.
9AED3C5A,"Esta chica, que antes era tímida, es tranquila fuera del campo, pero feroz durante los partidos. Verás lo que es bueno si la haces enfadar."
9AF6487B,"El delantero más destacado del norte, descubierto por <FLA:FUBUKI>."
9AFB0CD1,"Parece ser una gerente de pocas palabras que sigue a <FLC:KUROIWA>, pero en realidad se trata de un extraterrestre llamado <FST:PTUMRI>."
9AFB839C,Reconoce los vinos por su olor. De mayor quiere ser enólogo.
9B043022,El tercero de unos quintillizos y asistente de los <LST:K-BLACK>. Un joven detallista y talentoso.
9B04579A,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
9B21CBEB,Tímida y muy centrada en defenderse. A veces se le olvida contraatacar.
9B28FAEC,"Impulsiva al hablar, sus opiniones pueden cambiar radicalmente en cuestión de minutos."
9B29E035,"Su encanto pícaro hace que sea imposible de odiar. Se ha ganado el cariñoso apodo de ""Bellota ""."
9B2F566D,"Es la pasión del equipo que hace cobrar vida a cada jugada, incluso cuando las rarezas del equipo la dejan en un apuro."
9B39E9AB,Quiere ser traductor para dar a conocer obras literarias sublimes.
9B3AAC64,"Se marea en autobús, pero su amor por el espacio es más fuerte. Se curaría si visitase una estación espacial."
9B4517AB,Tiene una gran capacidad pulmonar y se zambulle para atrapar a sus rivales.
9B46DD29,"Conocida como la princesa <FST:CATRA> en su juventud, es una chica atrevida a la que no le va lo femenino."
9B657568,"Bajo su fría apariencia, en el interior de este chico arde una intensa pasión por el fútbol."
9B73754E,Le gustan tanto los huevos que se come diez al día. Los duros son sus favoritos.
9B84A39D,La llaman la Bruja de Kyushu por su rapidez en el campo.
9B881784,El pardillo del equipo. La seta de su cabeza se llama Pinon.
9B96933D,"Como admira a su hermano DJ, practica para dedicarse a lo mismo."
9B9B99CE,"El instructor del Nuevo Inazuma Japón. Analiza datos, cocina y hasta da masajes para mantener al equipo en plena forma."
9B9E6D9E,Capitana del Inazuma Kids FC. Todavía está en primaria. Su madre regenta un restaurante local.
9B9EE2D3,"Aunque parece severa, es una persona muy considerada a la que le gusta socializar."
9BA1D719,"Su técnica era algo floja, pero <FFS:GARCILDO> se hizo cargo de este problemilla."
9BA3B417,"Desde que encontró una llave inglesa, desmonta todo lo que pilla por banda."
9BAA0F4F,"Lleva máscara para asustar, pero la gente solo se ríe de él."
9BCB3039,Es tan tímido que rara vez sale donde la gente pueda verlo.
9BD69275,Lucha por la conservación de las mezquitas y otras obras de arte de Oriente Medio.
9BDD4A23,Es escultor y participa en los festivales de nieve del país.
9BE42201,Entrenadora del Umbrella. Su aparente calma pone los nervios de punta hasta a los jugadores más tranquilos.
9BE8817E,Cambió su entusiasmo por los dinosaurios a los tiburones. Sueña con épicas batallas sobre quién ganaría en un duelo.
9BEFD50F,"El guerrero definitivo, nacido del Proyecto Génesis. Sus tiros son como cometas."
9BF7AC4B,Le preocupa en exceso qué es lo que piensan los demás de lo que hace.
9C0D98FE,Se tapa la cara con un pañuelo por timidez. No sabe que así da miedo.
9C1FCB64,"Le encanta escribir cartas, pero no las manda nunca por vergüenza."
9C304177,"Puede que sea un chico, pero le gusta coser y hace prendas para su hermana pequeña."
9C4282D4,Su técnica al respirar no es la mejor. Sigue adelante con su tabla de natación y su resistencia.
9C7ADD92,"Puede alcanzar una gran velocidad en segundos, aun partiendo del reposo."
9C8A670E,"Posee un criadero de ciervos volantes y, en verano, invaden su casa."
9C8D0B41,Siempre se enferma antes de eventos importantes. Afirma que los rayos cósmicos son los culpables de ello.
9C97C542,Vendedor de la tienda de CDs. Los clientes huyen si se pone a hablar.
9C9ABBD0,El capitán del Cascada Perfecta. Es un androide creado por <FLA:SAKAMAKI>.
9C9F3BE1,Vende a buen precio lo que ya no necesita a quien le interesa.
9CA08166,Su sueño es ser el conserje de un hotel de cinco estrellas.
9CA1F430,"Amiga de infancia de <FST:TSUKIMI> y dueña de un restaurante individual, tiene una resistencia inquebrantable y una aguda intuición."
9CA3A793,Quiere batir el récord de velocidad con la bici que se fabricó.
9CA87FC5,Este joven ya es una máquina de éxitos en el mundo de la música francesa.
9CAA1CCB,Cinturón negro de judo. Una vez detuvo a un ladrón con una llave.
9CD2D24D,"Se lanza a por el balón como un perro rabioso. Cuando lo ha conseguido, no lo suelta."
9CD4E2FF,En casa tiene más de 100 películas sangrientas y de terror.
9CF2B08E,"No sabe decir ""no "" y es demasiado amable para competir. Ha dejado escapar a más de una futura estrella."
9D1688C8,Toca un arpa japonesa muy extraña que tiene teclado.
9D1D509E,"Tiempo atrás, fue conocido como ""<FUL:GRAN> "" y lideró el equipo de la Academia Alius. Sus tiros atraviesan el aire como cometas."
9D30DAB9,Ágil y rápido. Diseña un dieta para estar en forma y sortear a los defensas.
9D480D39,"Está deseando construirse un barco de madera, por eso lee tanto sobre el tema."
9D4F6176,Vigila de cerca a los alumnos más díscolos. El comité escolar funciona a las mil maravillas gracias a ella.
9D552038,"Disfruta con el sufrimiento ajeno, aunque es demasiado cobarde como para causar el sufrimiento él mismo."
9D55AF75,Verdulera que vigila la mercancía con el mismo celo que la línea de meta.
9D5A9B7F,Se salta las reglas y engaña a los rivales para que cometan faltas con una pícara sonrisa. Domina la psicología inversa a la perfección.
9D5D51D6,"Es tan avaricioso que, cuando le piden un favor, cobra por hacerlo."
9D61CDA4,Le encanta dibujar y de mayor quiere ser diseñador.
9D62EB51,Tiene un misterioso poder para curar gente con solo pasar su mano frente a ellos.
9D6876FC,Malabarista empedernido. Es capaz de mantener diez bolas en el aire a la vez.
9D7A2566,"Antigua gerente del Raimon. Es muy guapa, pero tiene un carácter bastante fuerte."
9D80E8E3,"El más joven de cinco. Si lo mangonean en casa, hace los mismo con los débiles."
9D9D4C6C,"Le gusta ahorrar e invertir su dinero en unas judías baratas, que nunca lo decepcionan."
9DAD9A51,Un estratega que siempre mantiene la calma. Se gana la confianza de todos gracias a su actitud racional.
9DB10CFD,Su sueño es ser oficinista. No le gusta ser diferente a los demás.
9DB8B7A5,Su orgullo le impide dejar que otros lancen un tiro libre si lo ha conseguido él.
9DBA5BE6,Su familia es una institución en el teatro tradicional de la región.
9DCFF2C9,"Le gustaría vivir en una casa señorial a como dé lugar, aunque fuese como criada."
9DDDA153,Un defensa veloz como un hámster que hace inexpugnable su portería.
9DEF6864,"Su pasión por el fútbol es insuperable. Pase lo que pase, su valiente corazón nunca se rendirá."
9DF22B40,Está tan fofo que baila como los flanes que se come todos los días.
9DF2A40D,Se sacia con poca comida. <FST:MOLA MOLA> siempre se encarga de todo lo que deja en su plato.
9E043C8D,"Líder del club de baile y está obsesionado con los movimientos. En secreto, está celoso del increíble talento de <FST:RAIKA>."
9E1C180E,Lleva el fútbol en la sangre: su bisabuelo también representó al país.
9E23A289,"Su destreza artística cautiva a sus rivales, juega divinamente."
9E294E3F,"Lleno de frustración, se la pasa tramando la caída de sus enemigos. ¡Ahora está bajo el control de los Devoramentes!"
9E3C63CB,"Cuando le entra hambre, se pone nervioso y empieza a lanzar cosas."
9E3E8F88,Sabe abrir círculos perfectos en el hielo y luego pesca a través de ellos.
9E4B26A7,Miembro del club de juegos de supervivencia. Le gusta jugar en la gran parcela que tiene su familia.
9E59753D,Este defensa corpulento detiene cualquier pase gracias a sus reflejos. Es uno de los pilares del equipo.
9E5C1946,Tiene tan buena letra que hasta el profe le pide que escriba por él.
9E767063,Un defensa de reflejos excepcionales. Está enganchado a los juegos en línea.
9E76FF2E,Es fan de la cultura china. Quiere trabajar en la embajada.
9E8FE7EC,Tiene excelentes reflejos y una resistencia increíble. Hace de su recorrido al colegio una carrera de parkour.
9E925CA6,Cada día camina más de 20 km para mantenerse en forma.
9E9984F0,El estilo de juego de este futbolista encierra la sabiduría de sus antepasados.
9EB9FF35,"Compañera de clase de <FST:TENMA>. Habla muy bajito, pero tiene temperamento."
9ECBB518,"Reina emergente del karuta, orgullosa de ser una de las mitades del espectáculo conocido como el ""duo resplandeciente ""."
9ED17B1B,"Aunque ahora es propietario de un local de ramen, en su día fue crucial para Inazuma Eleven."
9ED1F456,"Era un niño muy inquieto, y al crecer se volvió tan extrovertido que hace amigos allá donde va."
9ED23ED4,Corre con la gracia y la fuerza de un leopardo. Acecha y ataca como una bestia salvaje.
9ED985B8,Admira a los piratas y en el futuro quiere salir en busca de tesoros.
9EE519CA,Le fascina la poesía china y no sale de casa sin poemarios.
9EE63F3F,Es un gran contrincante en las carreras de resistencia de largo recorrido.
9EE6C7AA,"Joven de fuerte temperamento, pero que en el fondo tiene buen corazón."
9EECA292,Adora los platos tradicionales. Aspira a ser chef. Si al menos no fuera tan descuidado...
9EFEF108,Lleva junto con su esposa un bar que hay en la playa de Okinawa. Parece que no se atreve a verla a los ojos.
9F09DF2F,"Su lema es: ""La sonrisa de una idol puede salvar el mundo. "" Lo usa para animar a su favorita."
9F13112C,Es un entrenador personal cuyo cuerpo es veinte años más joven que él.
9F139E61,Le encanta bañarse en la arena y viaja por el desierto solo para estar rodeado de ella.
9F1A0464,Aterra a sus enemigos con su inquietante risa. Dicen que usa rituales secretos para hacerse más fuerte.
9F1BEF8F,Prepara cócteles de zumos en casa para ser un buen barman de mayor.
9F1DA8E5,"Popular y bueno en todos los deportes, su integridad y devoción a su novia de siempre son de admirar."
9F2773FD,"Acierta la distancia que le separa de sus rivales, por mucha que haya."
9F2CABAB,Cría cerdos ibéricos en casa para producir toneladas de delicioso jamón serrano.
9F2EC8A5,Pequeñita y de aspecto infantil. Le preocupa que a menudo la tomen por alumna de primaria.
9F3C9B3F,Antiguo medio del Inazuma Japón. Es secretario de <FFS:KIRA>.
9F503691,"Cuida una paloma mensajera, pero no tiene oportunidad de usarla."
9F5BEEC7,"Jugador muy habilidoso, que sabe cómo atravesar la defensa rival."
9F617D0E,No le hace falta mirar dos veces para saber adónde irá a parar el balón.
9F6E8E98,Es el adorable payaso de la clase del Raimon a quien nunca nadie le supera en agallas y determinación.
9F7B9502,Le encantan los conejos y se dedica a cuidarlos. Trata con mucho amor a los conejos de la escuela.
9F894C90,Le encantan los dramas de samuráis que echan por la tele. Tejió su propio sombrero de paja para imitar a su héroe.
9F9B1F0A,Una chica inocente y algo robusta que sueña con tener una moto voladora que viaje en el tiempo.
9F9E7371,Es extremadamente leal. Nunca se olvida de devolver un favor.
9FA1DBB4,Sucesora de <LST:HIBIKI> como entrenadora del Raimon. Es estricta y precisa en su guía hacia la victoria.
9FB49519,"Si no se lava los dientes justo después de comer, se pone nervioso."
9FC279F9,"Era un novato que buscaba llamar la atención, pero su encanto y tesón le hicieron destacar."
9FC656BA,El presidente de la Corporación <LST:OJIRO> y el padre de <FLC:SAKURAZAKI>. Un adicto al trabajo que antepone los negocios a todo.
9FCEDA86,El entrenador del Colegio de Empollones. Toma nota de los jugadores y los califica.
9FFE09FC,"Va de enterado del fútbol, pero mete la pata cada vez que abre la boca."
A0085F4C,"Su sonrisa esconde a un cazador nato, siempre al acecho de una nueva presa."
A008D001,"Con su cuerpo robusto, repele los tiros sin inmutarse."
A00AB30F,Cuarto de unos quintillizos. Un bufón en ciernes: se sabe miles de chistes.
A02F48C6,"Una apasionada del maquillaje, que convierte a los actores en obras de arte vivientes sin darse cuenta."
A03AB2CF,Un funcionario nato que carga con todo a la vez y siempre asume más de lo que debería.
A03BEDB6,El presidente del Instituto Raimon y padre de <FST:NATSUMI>. Es un apasionado del fútbol desde siempre.
A03F9425,Sabe mucho de nutrición y sigue una dieta especial para deportistas.
A0402FEA,Genio del rifle capaz de darle a un pequeño blanco situado a 100 m.
A040A0A7,Un misterioso alienígena que se hizo pasar por <FUL:MITYA> para participar en el FFIV2.
A050F309,Entrenaba para ser como un superhéroe y ahora se pasa los fines de semana haciendo cosplay.
A0A48C62,Aprovecha su elasticidad para hacer entradas de lo más sorprendentes.
A0AF5434,"Cuando toca la flauta travesera, alegra a todo el mundo."
A0AFDB79,"Sabe alternar funciones ofensivas y defensivas, según lo exija el partido."
A0B27935,Uno de los principales competidores del torneo de sumo de Fertilia; juega al fútbol para estar en forma.
A0B79A03,El Miximax de <FUL:HAKURYU> y <FUL:SYU>. ¡La unión de la luz y la oscuridad!
A0CDB3E1,Deja volar la imaginación y acaba enamorándose de los perfiles que debería estar analizando.
A0DA7256,Consumada costurera que se especializa en los retales. Sus clientes esperan con ansias sus creaciones.
A0DB37AD,Desde que aprendió a andar ha sido una estrella de patinaje artístico.
A0E72492,"Su arma preferida es el hacha, y es tan fuerte que podría enfrentarse a <FST:SARGES> en un combate individual."
A0E7ABDF,"Solo come verduras, pero no subestimes su potencial."
A0FA0993,Jugaba al rugby y se ha acostumbrado a recibir el balón con las manos. Cuidado...
A0FD65DC,Presume de poder comer toda la cantidad de kakigōri que quiera sin que le dé el típico dolor de cabeza helado.
A10A4BFB,Capitán del Protocolo Omega. Nunca desobedece una orden directa.
A111A339,Perfiladora especialista en meterse en la mente de los delincuentes.
A1181861,Su familia tiene un salón de belleza especializado en pestañas postizas.
A1195D9A,Estudia filosofía y es muy pedante al hablar.
A11AF422,"Jugador perfecto en cuerpo, mente y técnica, bendecido por el dios del fútbol."
A1254EA5,"Capitán de asalto que se lanzaba el primero contra los enemigos; admiraba con fervor a <FST:SARGES> y lo veía como un ""hermano ""."
A125C1E8,Es muy inexpresivo y cuesta mucho saber qué le ronda por la cabeza.
A13863A4,Vive convencido de que la música británica es la mejor del mundo.
A16D3E03,Cree a pies juntillas en la astrología y siempre está observando las estrellas.
A16DB14E,"Es muy habilidoso, pero su actitud rebelde suele generar problemas."
A1701302,La comida parece interesarle tan poco que se rumorea que nunca ha comido ni un bocado de nada.
A175F034,Un jugador genial que adora los videojuegos. No le gusta perder.
A18245DD,Camorrista que se volvió serio tras hacerse futbolista ninja.
A182CA90,"Nacido de un dispositivo desechado, este alienígena humanoide arde en una rabia difícil de contener."
A192993E,Un programador cachas que quiere diseñar la app perfecta para verse más musculoso en cámara.
A1B2FBFD,"Un estudiante de 3.º, que busca impresionar a los más jóvenes. Es sorprendentemente asustadizo para su tamaño."
A1C16260,"Gracias a la piedra Alius, ha mejorado su juego de pies."
A1C1DD80,"Es valiente ante jugadores mayores que él, pero se achanta ante la presencia de su madre."
A1C8D938,Un chico tímido y modesto que hace que todas las chicas se fijen en él.
A1CA357B,"Su peso no le permitió dedicarse al sumo, así que ahora ama el fútbol."
A1ED22F1,Entrena como nadie para ser un actor de élite y se recupera rápido de cada audición fallida.
A1FDFE12,"En cuanto ve la oportunidad, se pone a lanzar fuegos artificiales."
A2061EFE,"Este niño con padres de dos mundos distintos parece capaz de casi cualquier cosa, pero nunca llega a cumplir sus metas."
A20691B3,As de la electrónica. Él mismo se monta sus radios y transmisores.
A20EA728,Un motivador imparable. Su velocidad desconcierta a todos sus rivales.
A21BBCB2,Sus movimientos con el balón son limpios y fluidos como el agua.
A245B60E,"La música marca su día a día. Caminando o hablando, lleva el ritmo en la sangre."
A24C0D56,"Jugador versátil de los que atacan y defienden. Bastante ligón, además."
A24EE115,Se hace trasquilones cada vez que le dan calabazas. Y así tiene la cabeza...
A253CC14,"Con que la comida tenga algo de tofu, él ya es feliz."
A26C7693,"Es una persona muy triste, pero nadie parece darse cuenta de ello."
A2707D53,Le encanta cantar con público. Eclipsa a los demás con unas armonías dignas de un karaoke.
A2792A7C,Es un chico súper alegre que te hace sentir cada día como si fuera uno de verano.
A27A2DD4,Es famoso por sus triquiñuelas. Disfruta de los enfrentamientos directos y de los partidos decisivos.
A27D8155,"Con una vista de águila, lee el partido como si estuviera viendo el futuro."
A28E9F95,"La capitana del Protocolo Omega 2.0 es risueña, pero tiene un lado oscuro."
A2957757,El delantero estrella de las tierras del norte. Suele ser muy tranquilo.
A29CCC0F,Desearía ser siempre un estudiante de secundaria para no tener responsabilidades de adulto.
A29D89F4,Miembro de la patrulla local. Pasa el rato practicando poses guais.
A29E204C,Sabe aprovechar cualquier minúsculo resquicio para iniciar un ataque.
A2A11586,"Siempre quiere obtener como mínimo tres puntos, no importa el deporte o el rival que sea."
A2A19ACB,Una jugadora sensible con ojos compuestos por 80 000 unidades sensoriales y un agudizado sentido del tacto.
A2A25049,Tiene muy pocos amigos y usa su arte para plasmar esa soledad.
A2C991A8,"Lento y torpón, pero se le perdona por su contundente remate de cabeza."
A2E96520,"No destaca por sus propios movimientos llamativos, pero proporciona un valioso apoyo al equipo."
A2E9EA6D,Lo que le gusta de verdad es navegar con su barco por ríos de aguas tranquilas.
A30BFB9F,Se tiñe el pelo de gris porque cree que le da un toque adulto.
A32B0F17,Dirige la defensa como un comandante y sabe achicar espacios.
A32B805A,Los originales diseños de sus tatuajes de henna se han puesto de moda en su ciudad.
A35EA638,Un maestro haciendo tartas. Cuida tanto su sabor como su presentación.
A35FE3C3,Quiere ser un lobo de mar grosero y le preocupa ser demasiado blando.
A3637FB1,"Dice haber heredado un unicornio momificado. ( ""¡Te juro que lo tengo en casa! "")"
A363F0FC,Una intrépida cazadora de un planeta gobernado por bestias gigantes; nadie es capaz de darles caza como ella.
A37B74BE,"Un manipulador nato, capaz de influir en el rival con palabras y acciones."
A386EE1A,Joven cuyos contundentes chutes a puerta son como los disparos de un cañón.
A38C8B22,Juicioso ariete del Ultramegahiedra. Forma un dúo estupendo con <LST:AZU>.
A38E6761,"""El áspid "" es un futbolista que aúna técnica depurada y juego duro."
A391A623,Su padre tiene una tienda de ropa deportiva. Te puede hacer un descuento.
A3AE1CA4,Le gustaría trabajar en EE. UU. y amasar una gran fortuna algún día.
A3B21764,"Colecciona útiles de cocina como un profesional, pero no sabe ni freír un huevo."
A3B847E3,Le molesta que los demás confundan su ceño perpetuo con una furia abrasadora.
A3BB404B,Le encantan las cajas de cartón como medio de expresión artística.
A3BF39D8,"Le gusta hablar con las plantas, pero nunca escucha a los de su equipo."
A3C474C9,Una joven vendedora que viaja por las estrellas; a veces ayuda a su hermano <FST:URICKY> con sus negocios.
A3C4FB84,Le pirran las maquetas de trenes y sueña con llenar su cuarto de ellas.
A3D9D685,"Orgulloso de no resfriarse nunca. Odia la frase ""los tontos no se resfrían ""."
A405B041,Hizo de su oratoria una fuente de ingresos. Ahora es la mejor guía de la Calle Comercial.
A41870E9,"Bajo su fría apariencia, en el interior de este chico arde una intensa pasión por el fútbol."
A4222886,Siempre puede descubrir el plan del rival y reaccionar en consecuencia.
A42234DF,Capitana del Inazuma Kids FC. Todavía está en primaria. Su madre regenta un restaurante local.
A422A7CB,Este versátil jugador sabe adaptar su juego a las exigencias de la situación.
A429F0D0,Una montaña humana imparable que aplasta todo lo que se le cruce por el camino.
A431493F,"De cara a la galería, es de movimientos llenos de gracia, pero, por dentro, hay esfuerzo y dedicación. Busca la belleza en todo."
A4556DEA,Jugadora del inframundo que usa sus técnicas arácnidas para aterrar a sus rivales.
A4564B1F,"Una experta en teléfonos móviles, responde a los SMS en cuestión de segundos."
A4570EE4,"Un chico firme cuya voluntad, ni el miedo ni la tentación pueden quebrantar."
A46AD76D,Le encanta dormir al aire libre. Tiene una tienda en su jardín.
A47B6A3A,Un bondadoso gigante que se encarga de la defensa. Se volvió muy rápido gracias al entrenamiento de <FLC:ENDO>.
A485ACB3,Este jugador piensa que el fútbol puede ser un medio para acabar con el racismo.
A48F46C6,Joven diestro explotando las debilidades de los rivales con un juego organizado.
A49881B2,Es el capitán de Los Cimitarras. Su estilo refleja la ferocidad de un león.
A4A1945A,"Le llaman ""el rey de los porteros "". No deja ningún hueco sin cubrir."
A4A73B35,"Destaca por su educación y su saber estar, pero no soporta los abusos."
A4AC6C2E,"No soporta que nadie la moleste, pero cuando sonríe está muy guapa."
A4B2E897,Quiere enseñar a sus tres enormes perros a correr con un trineo.
A4CC9D94,No le hace falta mirar dos veces para saber adónde irá a parar el balón.
A4CD5358,Calienta el agua con carbón por consejo expreso de su abuela.
A4CDDC15,Un portero con un control total del juego que domina el campo con ojos de color carmesí fundido.
A50F396F,"Chaval inocente, algo estrafalario, al que le gusta cortar el césped."
A50FB622,"Aunque parece distraído, es un jugador muy hábil, con una velocidad mental impresionante."
A515F76C,Ve las cosas con objetividad y usa esa claridad para crear interfaces intuitivas.
A53CAA9D,Es tan serio que nadie se atreve ni a dirigirle la palabra. ¡Ahora está bajo el control de los Devoramentes!
A54749C9,Entrenador de la Isla Santuario. Sus felinos reflejos lo hacen casi imbatible.
A54C1ED2,Le gustan tanto las bolitas de pulpo que las come cada día.
A559B616,El chico que apareció con <FUL:FRAN>. Es capaz de crear fuertes duplicados.
A57082A0,A veces se queda embobado mirando la puesta de sol mientras entrena.
A575506F,Hijo de <FUL:SENGUJI>. Es el portero y carismático líder de su equipo.
A5873749,Caballero seco e irascible al servicio del <FUL:CHARLES> de Francia.
A5942128,Sus risotadas le levantan el ánimo a todo el mundo.
A59564D3,"Ha viajado por todo el mundo, pero no tiene ni una sola aventura que contar."
A5978890,"Le encantan los rábanos, en especial cocidos, y los come diariamente."
A59CDF8B,Sus movimientos engañosos confunden al contrario.
A5A8BD5A,"Siempre hace críticas mordaces, pero dice verdades como puños."
A5AAAB6B,"Lo conocen como el ""Cazaosos "". Bajo su temperamento tranquilo, se oculta una furia sin igual."
A5B9000D,"Creó el club de fútbol de la escuela desde cero, solo con su esfuerzo, sin perder nunca de vista la pasión por el juego."
A5C0A705,Su elegante juego de pies pone a los rivales en su lugar. Atraviesa el campo con la fuerza de un viento huracanado.
A5C4F515,Forma parte de los Reyes Celestiales de Falam Orbius. Sus jugadas con su hermano <FST:GANDARES> son asombrosas.
A5D14DC5,Jugador que siempre esboza una desafiante sonrisa. Atosiga a los rivales con un estilo de juego hiperagresivo.
A5D2F2C5,"Normalmente es el silencioso entrenador del Barcelona Orb, pero no dejará de cotorrear si se pone nervioso."
A5E042B1,Su actitud serena hace que siempre sea el blanco de los malos del barrio.
A5E0CDFC,"Sus tiros con efecto sorprenden al rival, pero su juego es algo irregular."
A5F32308,Un chico que anima el ambiente con mucha facilidad. Su persistencia puede hacerlo parecer un acosador.
A5F48F89,"Guardián constante del balón, persigue la victoria sin descanso y no duda en recurrir a tácticas poco limpias."
A603E327,Un enigmático duplicado de <FST:FEI>. Nadie del equipo le ha visto la cara.
A6055CD8,Uno de los pilares del equipo. Arrasa con sus rivales gracias a su imponente físico.
A610F546,Ni el más malo se atreve a meterse con este líder misterioso.
A611B0BD,"Deja de piedra a los aficionados con sus portentosos saltos. Recuerda al mítico ""Pájaro rojo ""."
A6135CFE,"Aunque le gusta estar en segundo plano, su lucidez es la que saca adelante al equipo."
A6180BE5,"Cuando se junta con <FST:USUKE>, cruzan la línea del enemigo a su antojo."
A62C6934,"Por alguna razón, su defensa es más sólida con el frío."
A63A132E,Es como una de las 4 bestias divinas de China. Defiende cual tortuga.
A63C59A0,"Un defensa famoso por su gran estatura. Sus compañeros lo conocen como ""Gólem ""."
A641E25B,Guarda cientos de amuletos de la suerte para una ocasión especial que todavía tiene que llegar.
A648D35C,Hace malabares con el balón como un profesional. Los niños que lo ven jugar se quedan fascinados ante él.
A649C985,Es desconfiado por naturaleza. Entrena sin descanso para perfeccionar sus habilidades.
A64F7FDD,"Se le dan increíblemente bien todos los deportes. Cuando nadie mira, abraza sus peluches."
A65626AB,Maestro del kung-fu y entrenador del Raimon. Estimula el potencial de sus jugadores con métodos poco convencionales.
A656BE80,Sus aficiones son las figuritas de papel y los partidos de kemari.
A65A85D4,"Creó un dron para rastrear OVNIS, pero es tan rápido que no puede controlarlo."
A6641992,"Su concentración es increíble, pero solo en momentos críticos."
A66496DF,"Su alma de poeta hace que siempre esté recitando, incluso cuando está en el autobús."
A6757C9D,"Alegre y encantadora, es la favorita de todos. Siempre busca nuevas emociones y le importa más el proceso que el resultado."
A688A8CE,"Intentó ser el héroe entre las sombras del equipo, pero acabó siendo invisible."
A68B624C,"Un bellezón que se oculta bajo su vello corporal, odia ser el centro de atención."
A68BED01,"Para fortalecer sus piernas, sube y baja las escaleras de su edificio."
A6A761B2,Es el encargado de Raimon desde hace mucho tiempo. El mayor de tres hermanos que se parecen notablemente entre sí.
A6B87EF3,Un poco soñador y algo despistado. Es el hijo de un adinerado jugador profesional.
A6C8CABC,"Tiene valor y aunque se caiga, siempre se levanta."
A6E3692F,Tiene instinto para los negocios y sueña con fundar su propia empresa.
A6F456CE,Prefiere tomar el té a solas. Sonríe una vez cada cien años.
A70178DD,Tiene muy claro que quiere destacar entre la multitud y pagará lo que sea para conseguirlo.
A70E177A,Joven que se fugó de la prisión CONTRA. Odia seguir las normas y hace lo que le da la gana.
A7210318,Lleva un protector en la frente porque tiene fobia a los golpes en la cabeza.
A7254034,"Su pasión por el fútbol es insuperable. Pase lo que pase, su valiente corazón nunca se rendirá."
A7331A13,"Nunca ha jugado, pero se leyó todos los libros de estrategia. Hace jugadas como un entrenador con años de experiencia."
A7363CF9,Adora los coches y las carreras. Espera impacientemente la próxima carrera.
A73BAFFF,Forma parte de los Reyes Celestiales de Falam Orbius. Está convencido de que su hermano <FST:RYUGEL> es un genio.
A749087B,"En esta asociación simbiótica, <FST:GIVETIK> aporta el cuerpo y <LST:GIVETIK> la cabeza."
A7498736,"Como todos los grandes jugadores, lleva un peinado que da el cante."
A751A576,Un valiente que busca hacer historia y que desea superar a <FLC:HAKKE> algún día.
A75CA235,Un misterioso jugador con tres personalidades. Utiliza hipnosis para desatar tiros que parecen retorcer el tiempo.
A78BA3B2,Es el encargado de dar el toque de Diana. Levanta a todos cada mañana bajo su atenta mirada.
A78D15EA,"Siendo la hija de padres influencers, siempre persigue la próxima gran tendencia."
A7944C9C,"Aporta calidez al equipo con unas deliciosas comidas ricas en jengibre, ideales para combatir el frío."
A79CA487,Un capitán que guía hacia la victoria a su equipo. Tiene un amplio arsenal de tácticas y técnicas.
A7A673A5,"Es un defensa pequeño, pero con una gran resistencia física."
A7A6FCE8,"Su padre murió cuando era pequeño, por lo que juró ayudar siempre a su familia."
A7AD24BE,Su mirada asesina desmotiva a cualquiera que haga contacto visual con él.
A7B50A4B,Canta canciones populares. Sigue a la pelota de oído como si fuera parte de una melodía.
